src,dest,path,EdgeType
0,4288,internal link,Gene-TRAN-Gene-PROT
1,4289,internal link,Gene-TRAN-Gene-PROT
2,4290,internal link,Gene-TRAN-Gene-PROT
3,4291,internal link,Gene-TRAN-Gene-PROT
4,4292,internal link,Gene-TRAN-Gene-PROT
5,4293,internal link,Gene-TRAN-Gene-PROT
6,4294,internal link,Gene-TRAN-Gene-PROT
7,4295,internal link,Gene-TRAN-Gene-PROT
8,4296,internal link,Gene-TRAN-Gene-PROT
9,4297,internal link,Gene-TRAN-Gene-PROT
10,4298,internal link,Gene-TRAN-Gene-PROT
11,4299,internal link,Gene-TRAN-Gene-PROT
12,4300,internal link,Gene-TRAN-Gene-PROT
13,4301,internal link,Gene-TRAN-Gene-PROT
14,4302,internal link,Gene-TRAN-Gene-PROT
15,4303,internal link,Gene-TRAN-Gene-PROT
16,4304,internal link,Gene-TRAN-Gene-PROT
17,4305,internal link,Gene-TRAN-Gene-PROT
18,4306,internal link,Gene-TRAN-Gene-PROT
19,4307,internal link,Gene-TRAN-Gene-PROT
20,4308,internal link,Gene-TRAN-Gene-PROT
21,4309,internal link,Gene-TRAN-Gene-PROT
22,4310,internal link,Gene-TRAN-Gene-PROT
23,4311,internal link,Gene-TRAN-Gene-PROT
24,4312,internal link,Gene-TRAN-Gene-PROT
25,4313,internal link,Gene-TRAN-Gene-PROT
26,4314,internal link,Gene-TRAN-Gene-PROT
27,4315,internal link,Gene-TRAN-Gene-PROT
28,4316,internal link,Gene-TRAN-Gene-PROT
29,4317,internal link,Gene-TRAN-Gene-PROT
30,4318,internal link,Gene-TRAN-Gene-PROT
31,4319,internal link,Gene-TRAN-Gene-PROT
32,4320,internal link,Gene-TRAN-Gene-PROT
33,4321,internal link,Gene-TRAN-Gene-PROT
34,4322,internal link,Gene-TRAN-Gene-PROT
35,4323,internal link,Gene-TRAN-Gene-PROT
36,4324,internal link,Gene-TRAN-Gene-PROT
37,4325,internal link,Gene-TRAN-Gene-PROT
38,4326,internal link,Gene-TRAN-Gene-PROT
39,4327,internal link,Gene-TRAN-Gene-PROT
40,4328,internal link,Gene-TRAN-Gene-PROT
41,4329,internal link,Gene-TRAN-Gene-PROT
42,4330,internal link,Gene-TRAN-Gene-PROT
43,4331,internal link,Gene-TRAN-Gene-PROT
44,4332,internal link,Gene-TRAN-Gene-PROT
45,4333,internal link,Gene-TRAN-Gene-PROT
46,4334,internal link,Gene-TRAN-Gene-PROT
47,4335,internal link,Gene-TRAN-Gene-PROT
48,4336,internal link,Gene-TRAN-Gene-PROT
49,4337,internal link,Gene-TRAN-Gene-PROT
50,4338,internal link,Gene-TRAN-Gene-PROT
51,4339,internal link,Gene-TRAN-Gene-PROT
52,4340,internal link,Gene-TRAN-Gene-PROT
53,4341,internal link,Gene-TRAN-Gene-PROT
54,4342,internal link,Gene-TRAN-Gene-PROT
55,4343,internal link,Gene-TRAN-Gene-PROT
56,4344,internal link,Gene-TRAN-Gene-PROT
57,4345,internal link,Gene-TRAN-Gene-PROT
58,4346,internal link,Gene-TRAN-Gene-PROT
59,4347,internal link,Gene-TRAN-Gene-PROT
60,4348,internal link,Gene-TRAN-Gene-PROT
61,4349,internal link,Gene-TRAN-Gene-PROT
62,4350,internal link,Gene-TRAN-Gene-PROT
63,4351,internal link,Gene-TRAN-Gene-PROT
64,4352,internal link,Gene-TRAN-Gene-PROT
65,4353,internal link,Gene-TRAN-Gene-PROT
66,4354,internal link,Gene-TRAN-Gene-PROT
67,4355,internal link,Gene-TRAN-Gene-PROT
68,4356,internal link,Gene-TRAN-Gene-PROT
69,4357,internal link,Gene-TRAN-Gene-PROT
70,4358,internal link,Gene-TRAN-Gene-PROT
71,4359,internal link,Gene-TRAN-Gene-PROT
72,4360,internal link,Gene-TRAN-Gene-PROT
73,4361,internal link,Gene-TRAN-Gene-PROT
74,4362,internal link,Gene-TRAN-Gene-PROT
75,4363,internal link,Gene-TRAN-Gene-PROT
76,4364,internal link,Gene-TRAN-Gene-PROT
77,4365,internal link,Gene-TRAN-Gene-PROT
78,4366,internal link,Gene-TRAN-Gene-PROT
79,4367,internal link,Gene-TRAN-Gene-PROT
80,4368,internal link,Gene-TRAN-Gene-PROT
81,4369,internal link,Gene-TRAN-Gene-PROT
82,4370,internal link,Gene-TRAN-Gene-PROT
83,4371,internal link,Gene-TRAN-Gene-PROT
84,4372,internal link,Gene-TRAN-Gene-PROT
85,4373,internal link,Gene-TRAN-Gene-PROT
86,4374,internal link,Gene-TRAN-Gene-PROT
87,4375,internal link,Gene-TRAN-Gene-PROT
88,4376,internal link,Gene-TRAN-Gene-PROT
89,4377,internal link,Gene-TRAN-Gene-PROT
90,4378,internal link,Gene-TRAN-Gene-PROT
91,4379,internal link,Gene-TRAN-Gene-PROT
92,4380,internal link,Gene-TRAN-Gene-PROT
93,4381,internal link,Gene-TRAN-Gene-PROT
94,4382,internal link,Gene-TRAN-Gene-PROT
95,4383,internal link,Gene-TRAN-Gene-PROT
96,4384,internal link,Gene-TRAN-Gene-PROT
97,4385,internal link,Gene-TRAN-Gene-PROT
98,4386,internal link,Gene-TRAN-Gene-PROT
99,4387,internal link,Gene-TRAN-Gene-PROT
100,4388,internal link,Gene-TRAN-Gene-PROT
101,4389,internal link,Gene-TRAN-Gene-PROT
102,4390,internal link,Gene-TRAN-Gene-PROT
103,4391,internal link,Gene-TRAN-Gene-PROT
104,4392,internal link,Gene-TRAN-Gene-PROT
105,4393,internal link,Gene-TRAN-Gene-PROT
106,4394,internal link,Gene-TRAN-Gene-PROT
107,4395,internal link,Gene-TRAN-Gene-PROT
108,4396,internal link,Gene-TRAN-Gene-PROT
109,4397,internal link,Gene-TRAN-Gene-PROT
110,4398,internal link,Gene-TRAN-Gene-PROT
111,4399,internal link,Gene-TRAN-Gene-PROT
112,4400,internal link,Gene-TRAN-Gene-PROT
113,4401,internal link,Gene-TRAN-Gene-PROT
114,4402,internal link,Gene-TRAN-Gene-PROT
115,4403,internal link,Gene-TRAN-Gene-PROT
116,4404,internal link,Gene-TRAN-Gene-PROT
117,4405,internal link,Gene-TRAN-Gene-PROT
118,4406,internal link,Gene-TRAN-Gene-PROT
119,4407,internal link,Gene-TRAN-Gene-PROT
120,4408,internal link,Gene-TRAN-Gene-PROT
121,4409,internal link,Gene-TRAN-Gene-PROT
122,4410,internal link,Gene-TRAN-Gene-PROT
123,4411,internal link,Gene-TRAN-Gene-PROT
124,4412,internal link,Gene-TRAN-Gene-PROT
125,4413,internal link,Gene-TRAN-Gene-PROT
126,4414,internal link,Gene-TRAN-Gene-PROT
127,4415,internal link,Gene-TRAN-Gene-PROT
128,4416,internal link,Gene-TRAN-Gene-PROT
129,4417,internal link,Gene-TRAN-Gene-PROT
130,4418,internal link,Gene-TRAN-Gene-PROT
131,4419,internal link,Gene-TRAN-Gene-PROT
132,4420,internal link,Gene-TRAN-Gene-PROT
133,4421,internal link,Gene-TRAN-Gene-PROT
134,4422,internal link,Gene-TRAN-Gene-PROT
135,4423,internal link,Gene-TRAN-Gene-PROT
136,4424,internal link,Gene-TRAN-Gene-PROT
137,4425,internal link,Gene-TRAN-Gene-PROT
138,4426,internal link,Gene-TRAN-Gene-PROT
139,4427,internal link,Gene-TRAN-Gene-PROT
140,4428,internal link,Gene-TRAN-Gene-PROT
141,4429,internal link,Gene-TRAN-Gene-PROT
142,4430,internal link,Gene-TRAN-Gene-PROT
143,4431,internal link,Gene-TRAN-Gene-PROT
144,4432,internal link,Gene-TRAN-Gene-PROT
145,4433,internal link,Gene-TRAN-Gene-PROT
146,4434,internal link,Gene-TRAN-Gene-PROT
147,4435,internal link,Gene-TRAN-Gene-PROT
148,4436,internal link,Gene-TRAN-Gene-PROT
149,4437,internal link,Gene-TRAN-Gene-PROT
150,4438,internal link,Gene-TRAN-Gene-PROT
151,4439,internal link,Gene-TRAN-Gene-PROT
152,4440,internal link,Gene-TRAN-Gene-PROT
153,4441,internal link,Gene-TRAN-Gene-PROT
154,4442,internal link,Gene-TRAN-Gene-PROT
155,4443,internal link,Gene-TRAN-Gene-PROT
156,4444,internal link,Gene-TRAN-Gene-PROT
157,4445,internal link,Gene-TRAN-Gene-PROT
158,4446,internal link,Gene-TRAN-Gene-PROT
159,4447,internal link,Gene-TRAN-Gene-PROT
160,4448,internal link,Gene-TRAN-Gene-PROT
161,4449,internal link,Gene-TRAN-Gene-PROT
162,4450,internal link,Gene-TRAN-Gene-PROT
163,4451,internal link,Gene-TRAN-Gene-PROT
164,4452,internal link,Gene-TRAN-Gene-PROT
165,4453,internal link,Gene-TRAN-Gene-PROT
166,4454,internal link,Gene-TRAN-Gene-PROT
167,4455,internal link,Gene-TRAN-Gene-PROT
168,4456,internal link,Gene-TRAN-Gene-PROT
169,4457,internal link,Gene-TRAN-Gene-PROT
170,4458,internal link,Gene-TRAN-Gene-PROT
171,4459,internal link,Gene-TRAN-Gene-PROT
172,4460,internal link,Gene-TRAN-Gene-PROT
173,4461,internal link,Gene-TRAN-Gene-PROT
174,4462,internal link,Gene-TRAN-Gene-PROT
175,4463,internal link,Gene-TRAN-Gene-PROT
176,4464,internal link,Gene-TRAN-Gene-PROT
177,4465,internal link,Gene-TRAN-Gene-PROT
178,4466,internal link,Gene-TRAN-Gene-PROT
179,4467,internal link,Gene-TRAN-Gene-PROT
180,4468,internal link,Gene-TRAN-Gene-PROT
181,4469,internal link,Gene-TRAN-Gene-PROT
