src,dest,path,EdgeType
4288,4705,ErbB signaling pathway,Gene-PROT-Gene-PROT
4288,4706,ErbB signaling pathway,Gene-PROT-Gene-PROT
4288,5683,Neurotrophin signaling pathway,Gene-PROT-Gene-PROT
4288,5684,Neurotrophin signaling pathway,Gene-PROT-Gene-PROT
4288,5685,Neurotrophin signaling pathway,Gene-PROT-Gene-PROT
4288,6037,Ras signaling pathway,Gene-PROT-Gene-PROT
4289,4705,ErbB signaling pathway,Gene-PROT-Gene-PROT
4289,4706,ErbB signaling pathway,Gene-PROT-Gene-PROT
4289,6037,Ras signaling pathway,Gene-PROT-Gene-PROT
4290,5849,PPAR signaling pathway,Gene-PROT-Gene-PROT
4290,6081,PPAR signaling pathway,Gene-PROT-Gene-PROT
4290,6082,PPAR signaling pathway,Gene-PROT-Gene-PROT
4290,6083,PPAR signaling pathway,Gene-PROT-Gene-PROT
4291,5902,AMPK signaling pathway,Gene-PROT-Gene-PROT
4291,5902,Insulin signaling pathway,Gene-PROT-Gene-PROT
4291,5902,Glucagon signaling pathway,Gene-PROT-Gene-PROT
4291,5903,AMPK signaling pathway,Gene-PROT-Gene-PROT
4291,5903,Insulin signaling pathway,Gene-PROT-Gene-PROT
4291,5903,Glucagon signaling pathway,Gene-PROT-Gene-PROT
4291,5904,AMPK signaling pathway,Gene-PROT-Gene-PROT
4291,5904,Insulin signaling pathway,Gene-PROT-Gene-PROT
4291,5904,Glucagon signaling pathway,Gene-PROT-Gene-PROT
4291,5905,AMPK signaling pathway,Gene-PROT-Gene-PROT
4291,5905,Insulin signaling pathway,Gene-PROT-Gene-PROT
4291,5905,Glucagon signaling pathway,Gene-PROT-Gene-PROT
4291,5909,AMPK signaling pathway,Gene-PROT-Gene-PROT
4291,5909,Insulin signaling pathway,Gene-PROT-Gene-PROT
4291,5909,Glucagon signaling pathway,Gene-PROT-Gene-PROT
4291,5910,AMPK signaling pathway,Gene-PROT-Gene-PROT
4291,5910,Insulin signaling pathway,Gene-PROT-Gene-PROT
4291,5910,Glucagon signaling pathway,Gene-PROT-Gene-PROT
4291,5911,AMPK signaling pathway,Gene-PROT-Gene-PROT
4291,5911,Insulin signaling pathway,Gene-PROT-Gene-PROT
4291,5911,Glucagon signaling pathway,Gene-PROT-Gene-PROT
4291,6200,AMPK signaling pathway,Gene-PROT-Gene-PROT
4291,6200,Insulin signaling pathway,Gene-PROT-Gene-PROT
