src,dest,path,EdgeType
ANAPC5-TRAN,ANAPC5-PROT,internal link,Gene-TRAN-Gene-PROT
ANGPT1-TRAN,ANGPT1-PROT,internal link,Gene-TRAN-Gene-PROT
ANGPT2-TRAN,ANGPT2-PROT,internal link,Gene-TRAN-Gene-PROT
ANGPT4-TRAN,ANGPT4-PROT,internal link,Gene-TRAN-Gene-PROT
ANGPTL4-TRAN,ANGPTL4-PROT,internal link,Gene-TRAN-Gene-PROT
AOX1-TRAN,AOX1-PROT,internal link,Gene-TRAN-Gene-PROT
APAF1-TRAN,APAF1-PROT,internal link,Gene-TRAN-Gene-PROT
APBB1IP-TRAN,APBB1IP-PROT,internal link,Gene-TRAN-Gene-PROT
APC-TRAN,APC-PROT,internal link,Gene-TRAN-Gene-PROT
APC2-TRAN,APC2-PROT,internal link,Gene-TRAN-Gene-PROT
APH1A-TRAN,APH1A-PROT,internal link,Gene-TRAN-Gene-PROT
APH1B-TRAN,APH1B-PROT,internal link,Gene-TRAN-Gene-PROT
APLN-TRAN,APLN-PROT,internal link,Gene-TRAN-Gene-PROT
APLNR-TRAN,APLNR-PROT,internal link,Gene-TRAN-Gene-PROT
APOA1-TRAN,APOA1-PROT,internal link,Gene-TRAN-Gene-PROT
APOA2-TRAN,APOA2-PROT,internal link,Gene-TRAN-Gene-PROT
APOA5-TRAN,APOA5-PROT,internal link,Gene-TRAN-Gene-PROT
APOC3-TRAN,APOC3-PROT,internal link,Gene-TRAN-Gene-PROT
AQP7-TRAN,AQP7-PROT,internal link,Gene-TRAN-Gene-PROT
ARAF-TRAN,ARAF-PROT,internal link,Gene-TRAN-Gene-PROT
ARAP3-TRAN,ARAP3-PROT,internal link,Gene-TRAN-Gene-PROT
AREG-TRAN,AREG-PROT,internal link,Gene-TRAN-Gene-PROT
ARF1-TRAN,ARF1-PROT,internal link,Gene-TRAN-Gene-PROT
ARF6-TRAN,ARF6-PROT,internal link,Gene-TRAN-Gene-PROT
ARHGDIA-TRAN,ARHGDIA-PROT,internal link,Gene-TRAN-Gene-PROT
ARHGDIB-TRAN,ARHGDIB-PROT,internal link,Gene-TRAN-Gene-PROT
ARHGDIG-TRAN,ARHGDIG-PROT,internal link,Gene-TRAN-Gene-PROT
ARHGEF12-TRAN,ARHGEF12-PROT,internal link,Gene-TRAN-Gene-PROT
ARNT-TRAN,ARNT-PROT,internal link,Gene-TRAN-Gene-PROT
ARRB1-TRAN,ARRB1-PROT,internal link,Gene-TRAN-Gene-PROT
ARRB2-TRAN,ARRB2-PROT,internal link,Gene-TRAN-Gene-PROT
ASPH-TRAN,ASPH-PROT,internal link,Gene-TRAN-Gene-PROT
ATF2-TRAN,ATF2-PROT,internal link,Gene-TRAN-Gene-PROT
ATF4-TRAN,ATF4-PROT,internal link,Gene-TRAN-Gene-PROT
ATF6B-TRAN,ATF6B-PROT,internal link,Gene-TRAN-Gene-PROT
ATG12-TRAN,ATG12-PROT,internal link,Gene-TRAN-Gene-PROT
ATG16L1-TRAN,ATG16L1-PROT,internal link,Gene-TRAN-Gene-PROT
ATG5-TRAN,ATG5-PROT,internal link,Gene-TRAN-Gene-PROT
ATM-TRAN,ATM-PROT,internal link,Gene-TRAN-Gene-PROT
ATP1A1-TRAN,ATP1A1-PROT,internal link,Gene-TRAN-Gene-PROT
ATP1A2-TRAN,ATP1A2-PROT,internal link,Gene-TRAN-Gene-PROT
ATP1A3-TRAN,ATP1A3-PROT,internal link,Gene-TRAN-Gene-PROT
ATP1A4-TRAN,ATP1A4-PROT,internal link,Gene-TRAN-Gene-PROT
ATP1B1-TRAN,ATP1B1-PROT,internal link,Gene-TRAN-Gene-PROT
ATP1B2-TRAN,ATP1B2-PROT,internal link,Gene-TRAN-Gene-PROT
ATP1B3-TRAN,ATP1B3-PROT,internal link,Gene-TRAN-Gene-PROT
ATP1B4-TRAN,ATP1B4-PROT,internal link,Gene-TRAN-Gene-PROT
ATP2A1-TRAN,ATP2A1-PROT,internal link,Gene-TRAN-Gene-PROT
ATP2A2-TRAN,ATP2A2-PROT,internal link,Gene-TRAN-Gene-PROT
ATP2A3-TRAN,ATP2A3-PROT,internal link,Gene-TRAN-Gene-PROT
ATP2B1-TRAN,ATP2B1-PROT,internal link,Gene-TRAN-Gene-PROT
ATP2B2-TRAN,ATP2B2-PROT,internal link,Gene-TRAN-Gene-PROT
ATP2B3-TRAN,ATP2B3-PROT,internal link,Gene-TRAN-Gene-PROT
ATP2B4-TRAN,ATP2B4-PROT,internal link,Gene-TRAN-Gene-PROT
ATP6V1A-TRAN,ATP6V1A-PROT,internal link,Gene-TRAN-Gene-PROT
ATP6V1B1-TRAN,ATP6V1B1-PROT,internal link,Gene-TRAN-Gene-PROT
ATP6V1B2-TRAN,ATP6V1B2-PROT,internal link,Gene-TRAN-Gene-PROT
ATP6V1C1-TRAN,ATP6V1C1-PROT,internal link,Gene-TRAN-Gene-PROT
ATP6V1C2-TRAN,ATP6V1C2-PROT,internal link,Gene-TRAN-Gene-PROT
ATP6V1D-TRAN,ATP6V1D-PROT,internal link,Gene-TRAN-Gene-PROT
ATP6V1E1-TRAN,ATP6V1E1-PROT,internal link,Gene-TRAN-Gene-PROT
ATP6V1E2-TRAN,ATP6V1E2-PROT,internal link,Gene-TRAN-Gene-PROT
ATP6V1F-TRAN,ATP6V1F-PROT,internal link,Gene-TRAN-Gene-PROT
ATP6V1G1-TRAN,ATP6V1G1-PROT,internal link,Gene-TRAN-Gene-PROT
